target,tau_hat
compartment/air_temperature,1
compartment/co2_concentration,4
compartment/heating_lower_circuit/pipe_temperature,1
compartment/humidity_deficit,10
compartment/leaf_temperature,1
compartment/par,3
compartment/screen_blackout/screen_position,1
compartment/screen_energy/screen_position,1
compartment/water_supply/water_flow_duration,1
compartment/window_position_lee_side,1
compartment/window_position_wind_side,2
energy/co2_dosage,1
energy/electricity_use.lighting,1
energy/energy_use.heating,1
substrate_bulk_ec_mean,36
substrate_relative_permittivity_mean,1
substrate_temperature_mean,8
