source,target,lag,pval,val,abs_val,source_group,target_group,hierarchy_allowed,tau_max,fixed_tau_max,time_window_min,core_edge
compartment/air_temperature,compartment/leaf_temperature,1,1.780399318477599e-19,0.0842879905764416,0.0842879905764416,State,Physiology,True,3,3,30,Air_T_to_Leaf_T
compartment/par,compartment/leaf_temperature,1,8.34361388963874e-11,0.0606766375352996,0.0606766375352996,State,Physiology,True,3,3,30,PAR_to_Leaf_T
compartment/par,compartment/leaf_temperature,2,0.0032320532992289,-0.0275345482597137,0.0275345482597137,State,Physiology,True,3,3,30,PAR_to_Leaf_T
compartment/leaf_temperature,compartment/leaf_temperature,1,0.0,0.6266055159571691,0.6266055159571691,Physiology,Physiology,True,3,3,30,Leaf_T_to_Leaf_T
compartment/air_temperature,compartment/leaf_temperature,1,6.441397419766004e-25,0.09625108000053,0.09625108000053,State,Physiology,True,6,6,60,Air_T_to_Leaf_T
compartment/air_temperature,compartment/leaf_temperature,4,0.000143472241171,-0.0355745233714618,0.0355745233714618,State,Physiology,True,6,6,60,Air_T_to_Leaf_T
compartment/par,compartment/leaf_temperature,1,7.119035575201903e-13,0.0670693110737615,0.0670693110737615,State,Physiology,True,6,6,60,PAR_to_Leaf_T
compartment/leaf_temperature,compartment/leaf_temperature,1,0.0,0.6231733676380083,0.6231733676380083,Physiology,Physiology,True,6,6,60,Leaf_T_to_Leaf_T
compartment/leaf_temperature,compartment/leaf_temperature,4,1.6484241858370658e-14,0.0717081606555752,0.0717081606555752,Physiology,Physiology,True,6,6,60,Leaf_T_to_Leaf_T
compartment/air_temperature,compartment/leaf_temperature,1,2.614226446021084e-23,0.0929245702786822,0.0929245702786822,State,Physiology,True,9,9,90,Air_T_to_Leaf_T
compartment/air_temperature,compartment/leaf_temperature,3,0.0341147064446194,-0.0198359614769506,0.0198359614769506,State,Physiology,True,9,9,90,Air_T_to_Leaf_T
compartment/par,compartment/leaf_temperature,1,6.445435641361639e-12,0.064225312111727,0.064225312111727,State,Physiology,True,9,9,90,PAR_to_Leaf_T
compartment/leaf_temperature,compartment/leaf_temperature,1,0.0,0.6212054316943105,0.6212054316943105,Physiology,Physiology,True,9,9,90,Leaf_T_to_Leaf_T
compartment/leaf_temperature,compartment/leaf_temperature,4,2.863931915507686e-11,0.0622094633423367,0.0622094633423367,Physiology,Physiology,True,9,9,90,Leaf_T_to_Leaf_T
compartment/air_temperature,compartment/leaf_temperature,1,2.9319217704805e-23,0.092846670638143,0.092846670638143,State,Physiology,True,12,12,120,Air_T_to_Leaf_T
compartment/par,compartment/leaf_temperature,1,7.984244136351911e-12,0.0639536916155136,0.0639536916155136,State,Physiology,True,12,12,120,PAR_to_Leaf_T
compartment/par,compartment/leaf_temperature,12,0.0925139242838991,0.0157471089233374,0.0157471089233374,State,Physiology,True,12,12,120,PAR_to_Leaf_T
compartment/leaf_temperature,compartment/leaf_temperature,1,0.0,0.622274676321601,0.622274676321601,Physiology,Physiology,True,12,12,120,Leaf_T_to_Leaf_T
compartment/leaf_temperature,compartment/leaf_temperature,4,1.764176805331691e-12,0.0659424919267727,0.0659424919267727,Physiology,Physiology,True,12,12,120,Leaf_T_to_Leaf_T
